Message,Positive,Negative,Neutral,Compound
,,,,
"It appears the bug was exploited before Instagram's fix, and affected more than the most high-profile accounts",0,0.235,0.765,-0.5574
,,,,
There's a new Volkswagen bus in town,0,0,1,0
,,,,
Shocking video shows a Utah police detective arresting a nurse when she refused to let him draw blood from one of her patients. The detective is under investigation http://cnn.it/2ewtUx7,0,0.164,0.836,-0.5994
,,,,
"Drone footage from Rockport, Texas, shows the destruction left behind by Hurricane Harvey. http://cnn.it/2iAJedc",0,0.222,0.778,-0.5719
,,,,
This app can turn anything into a 3D model,0,0,1,0
,,,,
Part of a Roman city that experts believe was submerged in the 4th century has been found off the coast of northeastern Tunisia http://cnn.it/2ewcdhl,0,0,1,0
,,,,
"From snakes to infectious diseases, here are the common dangers people face when they get caught up in floods http://cnn.it/2gpHpvn",0,0.144,0.856,-0.4939
,,,,
The average age has slightly increased,0.265,0,0.735,0.204
,,,,
She couldn't wait any longer. She needed to see what happened to her home following Hurricane Harvey. But she wasn't ready for what she was walking in to http://cnn.it/2gqLDmr,0,0.07,0.93,-0.2755
,,,,
"President Donald J. Trump is miffed by the constraints his new chief of staff has placed on his access to staffers and outside associates, administration officials tell CNN.",0,0,1,0
,,,,
,0,0,0,0
,,,,
"Comey prepared the draft exoneration for Hillary Clinton before conducting interviews with top Clinton aides, two GOP senators say",0.179,0,0.821,0.4019
,,,,
People across the country are stepping up to help Harvey survivors. Here's how you can get involved http://cnn.it/2wr30x0,0.137,0,0.863,0.4019
,,,,
"In the end, it simply ran out of juice",0,0,1,0
,,,,
"""Immigration and Customs Enforcement tried to deport me that same night, but the community outcry prevented that.""",0.056,0.216,0.728,-0.6486
,,,,
Many other businesses could be undercut my self-driving cars,0,0,1,0
,,,,
The former St. Louis police officer accused of intentionally killing a 24-year-old black man and planting a gun as evidence to justify the fatal shooting,0,0.397,0.603,-0.91
,,,,
"We’re in Crosby, Texas where a major fire is ongoing at a chemical plant (no audio)",0,0.156,0.844,-0.34
,,,,
There is a major fire at a Texas chemical plant in Crosby http://cnn.it/2vz2PRh,0,0.194,0.806,-0.34
,,,,
"""I'm spending my days signing up for FEMA help with immediate necessities and housing, canceling services we no longer need, trying to figure out how to create a new normal for my children""",0.133,0.061,0.806,0.3818
,,,,
A deeper look into some of the lives that will be directly affected if President Donald J. Trump appeals the Deferred Action for Childhood Arrivals program,0,0.062,0.938,-0.1531
,,,,
Schiller serves as a body man and personal aide who often had the best sense of President Donald J. Trump's mood and needs during the campaign,0.149,0,0.851,0.6369
,,,,
A state judge in Pennsylvania threw out involuntary manslaughter charges Friday against eight fraternity members,0,0.139,0.861,-0.2732
,,,,
"""An all women remake of Lord of the Flies makes no sense because... the plot of that book wouldn't happen with all women,"" writer Roxane Gay tweeted",0,0.078,0.922,-0.296
,,,,
"The Justice Department turned over a copy of the letter, which was drafted by Trump and top aide Stephen Miller, to Mueller in recent weeks, the Times reported, citing interviews with a dozen administration officials and others briefed on the matter",0.149,0,0.851,0.6486
,,,,
"$25 to $37 billion worth of flood loss is being predicted to hit homes across Texas and Louisiana and only $6.5 to 9.5 billion will be covered by insurers, according to a property analytics firm",0.052,0.064,0.884,-0.1027
,,,,
"When asked if Dreamers should be worried, President Donald J. Trump responds, ""We love the Dreamers, we love everybody"" http://cnn.it/2wpBjEE",0.304,0.08,0.616,0.802
,,,,
"This search specialist and his rescue dog Jester have helped rescue some 1,000 Harvey victims since driving 29 hours from California to help http://cnn.it/2vPTBLG",0.294,0.073,0.633,0.7906
,,,,
"""I actually don't think he should do that,"" Speaker Paul Ryan said",0,0,1,0
,,,,
"""If I can get some seafood I'll be happy, if I get a martini I'll be happy but if not, I'm just glad to be here"" says this 66-year-old Texan woman who returns home after Harvey on her birthday. http://cnn.it/2wov3gg",0.112,0.077,0.811,0.123
,,,,
"Eric Love and Brennon Davis went out searching for survivors in a flooded neighborhood of Beaumont, Texas. They thought there was no one left... until they heard barking.  A dog and her puppy needed their help. Click and drag this 360° video to see the whole rescue. #CNNVR",0.184,0.074,0.741,0.7964
,,,,
The Houston native's contribution is the largest to date,0,0,1,0
,,,,
"Each year, up to three million pilgrims descend on the Saudi Arabian city of Mecca",0,0,1,0
,,,,
"Eventually, technology like this might predict your preferred order based on factors like age, mood and gender.",0.25,0,0.75,0.6124
,,,,
"On Friday morning, President Donald J. Trump touted the ""heeling"" in flooded Texas. Should you care?",0.174,0.065,0.761,0.4588
,,,,
"Watt started on Sunday with a goal of $200,000. He's now raised more than $13 million.",0,0,1,0
,,,,
,0,0,0,0
,,,,
"Even after Hurricane Harvey's immediate threat of flooding goes away, Texas residents will face a host of health problems from the water and from what it leaves behind.",0,0.196,0.804,-0.7269
,,,,
"In a worst case scenario, the national average could get as high as $2.75 a gallon, according to an oil analyst",0,0.186,0.814,-0.6249
,,,,
"On the first day of the new school year in Russia, students learned an important lesson directly from their president -- who he thinks will rule the world.",0.062,0,0.938,0.2023
,,,,
Salt Lake City police apologize for arresting a Utah nurse who refused to draw blood from an unconscious patient http://cnn.it/2wtRJvV,0.068,0.107,0.825,-0.2023
,,,,
"""We are not his subordinates. We don't answer to him. We answer to the American people,"" Sen. John McCain said of President Donald J. Trump, calling for bipartisan cooperation in Congress",0,0,1,0
,,,,
"The United States Department of Justice says it has no evidence to support President Donald J. Trump's assertion in March that his predecessor, Barack Obama, wiretapped the phones in Trump Tower before last year's election.",0.211,0.052,0.736,0.7717
,,,,
"They nearly died in Katrina. In Houston, they meet the man who made a difference.",0,0.217,0.783,-0.5574
,,,,
"""It's good exercise"": President Donald J. Trump helps load relief supplies into a truck at a church in Houston during his tour of Hurricane Harvey damage http://cnn.it/2gsPAY6",0.262,0.098,0.64,0.6597
,,,,
"Imagine hovering 200 miles above earth while your family, friends and coworkers are tormented by a gruesome storm that took lives and destroyed homes.",0.114,0.117,0.769,-0.0258
,,,,
How Harvey washed away partisanship: CNN's Michael Smerconish sees Harvey heroism as an 'American Dunkirk' http://cnn.it/2gt2oh3,0.202,0,0.798,0.5859
,,,,
President Donald J. Trump hugs a little girl who ran up to him as he is in Texas and Louisiana this afternoon meeting with volunteers and people impacted by Hurricane Harvey http://cnn.it/2et64Pn,0.096,0,0.904,0.4939
,,,,
"But where are you really from? It's a question that many people get asked every day. 2,000 Americans respond to the question that annoys them the most. cnn.com/WhereImReallyFrom",0,0.097,0.903,-0.4215
,,,,
"When he first saw it in his living room, he thought his wife might have been playing a trick on him with a fake alligator.",0.069,0.165,0.766,-0.3612
,,,,
"About 200 homes were evacuated Friday after a brush fire broke out near Los Angeles, sending massive plumes of smokes into the air and shutting down an interstate highway http://cnn.it/2gsQ0h4",0,0.161,0.839,-0.6369
,,,,
"To reach safety, many people waded through the murky water, in some cases for hours. Now, scientists are concerned about what might be in it.",0.145,0,0.855,0.4404
,,,,
"""Serena Williams won a new title on Day 5 at the #USOpen: Mom,"" the US Open Tennis Championships said on Twitter.",0.289,0,0.711,0.7845
,,,,
President Donald J. Trump gets a second chance today at the post-natural disaster presidential visit.,0.11,0.227,0.663,-0.4767
,,,,
“I want a boat like you so I can help people when I grow up”: Little boy reconnects with the man who rescued his family after flooding from Harvey http://cnn.it/2gqP38P,0.294,0,0.706,0.8214
,,,,
It was supposed to be $100,0,0,1,0
,,,,
• India • Bangladesh • Sierra Leone • Nigeria • Nepal • Pakistan,0,0,1,0
,,,,
"A week after Hurricane Harvey slammed into the Texas coast, many are bracing for yet more rising water levels.",0,0,1,0
,,,,
Doctors first said she was psychotic,0,0,1,0
,,,,
The toll that Harvey is taking on Texas is staggering.,0,0,1,0
,,,,
"Salt Lake City police apologized for arresting the nurse, who refused to draw blood from a patient.",0.124,0.119,0.757,0.0258
,,,,
"""We are watching an enormous disaster in what feels like slow motion""",0.151,0.247,0.602,-0.3818
,,,,
,0,0,0,0
,,,,
16 would-be beauty queens from across India helped to make history,0.275,0,0.725,0.5859
,,,,
"40 years ago, NASA launched two spacecrafts from Earth. 10 billion miles later, they still communicate back from the interstellar frontier. http://cnn.it/2vu9EUa",0.067,0,0.933,0.128
,,,,
The drug aims to give patients a second chance after first-line drugs have failed,0.123,0.202,0.675,-0.3182
,,,,
"Each year in the US, flooding is deadlier than hurricanes, tornadoes or lightning.",0,0,1,0
,,,,
Who Putin thinks will rule the world,0,0,1,0
,,,,
"Donald J. Trump's DACA decision could cost thousands of jobs, study says http://cnn.it/2wJNyNa",0,0,1,0
,,,,
"About 200 homes were evacuated Friday after a brush fire broke out near Los Angeles, sending massive plumes of smoke into the air and shutting down an interstate highway, a fire department spokeswoman says.",0,0.208,0.792,-0.765
,,,,
"Tropical Storm Harvey is knocking yet more Gulf Coast refineries offline, raising the risk of higher gasoline prices",0,0.184,0.816,-0.3818
,,,,
Few details are known as Donald J. Trump launches tax reform push http://cnn.it/2vFGQnL,0,0,1,0
,,,,
"In 2011, a 2-year-old caught the world's attention for his smoking habit. Today, he is cured of his addiction, but millions of children have taken up the habit",0,0,1,0
,,,,
"For the 1.8 billion Muslims around the world, the Hajj is a spiritual pinnacle.",0,0,1,0
,,,,
They've been making wine for a lot longer than previously thought,0,0,1,0
,,,,
Meet Whang Od Oggay: The Philippines' oldest tattoo artist http://cnn.it/2vH9Fnv,0,0,1,0
,,,,
A British cycling magazine has issued an effusive apology for a sexist caption in its latest issue,0.079,0,0.921,0.0516
,,,,
NFL player J.J. Watt keeps surpassing Harvey relief goal: 'I'm with them for the long haul' http://cnn.it/2vyRMHR,0.162,0,0.838,0.4767
,,,,
"It appears the bug was exploited before Instagram's fix, and affected more than the most high-profile accounts",0,0.235,0.765,-0.5574
,,,,
There's a new Volkswagen bus in town,0,0,1,0
,,,,
Shocking video shows a Utah police detective arresting a nurse when she refused to let him draw blood from one of her patients. The detective is under investigation http://cnn.it/2ewtUx7,0,0.164,0.836,-0.5994
,,,,
"Drone footage from Rockport, Texas, shows the destruction left behind by Hurricane Harvey. http://cnn.it/2iAJedc",0,0.222,0.778,-0.5719
,,,,
This app can turn anything into a 3D model,0,0,1,0
,,,,
Part of a Roman city that experts believe was submerged in the 4th century has been found off the coast of northeastern Tunisia http://cnn.it/2ewcdhl,0,0,1,0
,,,,
"From snakes to infectious diseases, here are the common dangers people face when they get caught up in floods http://cnn.it/2gpHpvn",0,0.144,0.856,-0.4939
,,,,
The average age has slightly increased,0.265,0,0.735,0.204
,,,,
She couldn't wait any longer. She needed to see what happened to her home following Hurricane Harvey. But she wasn't ready for what she was walking in to http://cnn.it/2gqLDmr,0,0.07,0.93,-0.2755
,,,,
"President Donald J. Trump is miffed by the constraints his new chief of staff has placed on his access to staffers and outside associates, administration officials tell CNN.",0,0,1,0
,,,,
,0,0,0,0
,,,,
"Comey prepared the draft exoneration for Hillary Clinton before conducting interviews with top Clinton aides, two GOP senators say",0.179,0,0.821,0.4019
,,,,
People across the country are stepping up to help Harvey survivors. Here's how you can get involved http://cnn.it/2wr30x0,0.137,0,0.863,0.4019
,,,,
"In the end, it simply ran out of juice",0,0,1,0
,,,,
"""Immigration and Customs Enforcement tried to deport me that same night, but the community outcry prevented that.""",0.056,0.216,0.728,-0.6486
,,,,
Many other businesses could be undercut my self-driving cars,0,0,1,0
,,,,
The former St. Louis police officer accused of intentionally killing a 24-year-old black man and planting a gun as evidence to justify the fatal shooting,0,0.397,0.603,-0.91
,,,,
"We’re in Crosby, Texas where a major fire is ongoing at a chemical plant (no audio)",0,0.156,0.844,-0.34
,,,,
There is a major fire at a Texas chemical plant in Crosby http://cnn.it/2vz2PRh,0,0.194,0.806,-0.34
,,,,
"""I'm spending my days signing up for FEMA help with immediate necessities and housing, canceling services we no longer need, trying to figure out how to create a new normal for my children""",0.133,0.061,0.806,0.3818
,,,,
A deeper look into some of the lives that will be directly affected if President Donald J. Trump appeals the Deferred Action for Childhood Arrivals program,0,0.062,0.938,-0.1531
,,,,
Schiller serves as a body man and personal aide who often had the best sense of President Donald J. Trump's mood and needs during the campaign,0.149,0,0.851,0.6369
,,,,
A state judge in Pennsylvania threw out involuntary manslaughter charges Friday against eight fraternity members,0,0.139,0.861,-0.2732
,,,,
"""An all women remake of Lord of the Flies makes no sense because... the plot of that book wouldn't happen with all women,"" writer Roxane Gay tweeted",0,0.078,0.922,-0.296
,,,,
"The Justice Department turned over a copy of the letter, which was drafted by Trump and top aide Stephen Miller, to Mueller in recent weeks, the Times reported, citing interviews with a dozen administration officials and others briefed on the matter",0.149,0,0.851,0.6486
,,,,
"$25 to $37 billion worth of flood loss is being predicted to hit homes across Texas and Louisiana and only $6.5 to 9.5 billion will be covered by insurers, according to a property analytics firm",0.052,0.064,0.884,-0.1027
,,,,
"When asked if Dreamers should be worried, President Donald J. Trump responds, ""We love the Dreamers, we love everybody"" http://cnn.it/2wpBjEE",0.304,0.08,0.616,0.802
,,,,
"This search specialist and his rescue dog Jester have helped rescue some 1,000 Harvey victims since driving 29 hours from California to help http://cnn.it/2vPTBLG",0.294,0.073,0.633,0.7906
,,,,
"""I actually don't think he should do that,"" Speaker Paul Ryan said",0,0,1,0
,,,,
"""If I can get some seafood I'll be happy, if I get a martini I'll be happy but if not, I'm just glad to be here"" says this 66-year-old Texan woman who returns home after Harvey on her birthday. http://cnn.it/2wov3gg",0.112,0.077,0.811,0.123
,,,,
"Eric Love and Brennon Davis went out searching for survivors in a flooded neighborhood of Beaumont, Texas. They thought there was no one left... until they heard barking.  A dog and her puppy needed their help. Click and drag this 360° video to see the whole rescue. #CNNVR",0.184,0.074,0.741,0.7964
,,,,
The Houston native's contribution is the largest to date,0,0,1,0
,,,,
"Each year, up to three million pilgrims descend on the Saudi Arabian city of Mecca",0,0,1,0
,,,,
"Eventually, technology like this might predict your preferred order based on factors like age, mood and gender.",0.25,0,0.75,0.6124
,,,,
"On Friday morning, President Donald J. Trump touted the ""heeling"" in flooded Texas. Should you care?",0.174,0.065,0.761,0.4588
,,,,
"Watt started on Sunday with a goal of $200,000. He's now raised more than $13 million.",0,0,1,0
,,,,
,0,0,0,0
